Scenario,ScenarioDescription,Task,Domain,Method,Parties,InteractionRounds,ComputeMs,OnlineCommMB,RTTMs,BandwidthMbps,TransferMs,RoundTripMs,ProjectedE2EMs,ProjectedQPS,ComputeSharePct,TransferSharePct,RoundTripSharePct
edge_lan,co-located edge/cloudlet nodes,Diabetes,medical,2Cloud-D (Data-only),2,1,0.020571161048689137,0.0529632568359375,1.0,1000.0,0.4237060546875,1.0,1.4442772157361892,692.3878526258351,1.4243222024522095,29.336892534964278,69.23878526258352
campus_cloudlet,campus or hospital cloudlet,Diabetes,medical,2Cloud-D (Data-only),2,1,0.020571161048689137,0.0529632568359375,5.0,1000.0,0.4237060546875,5.0,5.444277215736189,183.67911117927477,0.37784925773489386,7.782595152627719,91.83955558963738
metropolitan_edge,metropolitan edge federation,Diabetes,medical,2Cloud-D (Data-only),2,1,0.020571161048689137,0.0529632568359375,20.0,200.0,2.1185302734375,20.0,22.13910143448619,45.16895154752284,0.09291777766845287,9.569179127285874,90.33790309504568
regional_cloud,regional public cloud deployment,Diabetes,medical,2Cloud-D (Data-only),2,1,0.020571161048689137,0.0529632568359375,50.0,100.0,4.237060546875,50.0,54.25763170792369,18.43058697038488,0.0379138572789659,7.809151290796621,92.1529348519244
cross_region_cloud,cross-region cloud collaboration,Diabetes,medical,2Cloud-D (Data-only),2,1,0.020571161048689137,0.0529632568359375,100.0,50.0,8.47412109375,100.0,108.4946922547987,9.217040753030664,0.018960522972292483,7.810631946721054,92.17040753030665
iot_gateway,constrained IoT gateway uplink,Diabetes,medical,2Cloud-D (Data-only),2,1,0.020571161048689137,0.0529632568359375,30.0,20.0,21.185302734375,30.0,51.20587389542369,19.529009543754135,0.040173440044595346,41.372797928693,58.587028631262406
edge_lan,co-located edge/cloudlet nodes,Diabetes,medical,ASS (Ours),2,1,0.02501161048689139,0.0774078369140625,1.0,1000.0,0.6192626953125,1.0,1.6442743057993914,608.1710311186997,1.5211336939752018,37.66176319415483,60.817103111869976
campus_cloudlet,campus or hospital cloudlet,Diabetes,medical,ASS (Ours),2,1,0.02501161048689139,0.0774078369140625,5.0,1000.0,0.6192626953125,5.0,5.644274305799391,177.17069472908463,0.44313244062558055,10.97152019483211,88.58534736454232
metropolitan_edge,metropolitan edge federation,Diabetes,medical,ASS (Ours),2,1,0.02501161048689139,0.0774078369140625,20.0,200.0,3.0963134765625,20.0,23.121325087049392,43.25011634216913,0.10817550634630702,13.391591809315429,86.50023268433826
regional_cloud,regional public cloud deployment,Diabetes,medical,ASS (Ours),2,1,0.02501161048689139,0.0774078369140625,50.0,100.0,6.192626953125,50.0,56.21763856361189,17.788011477367036,0.04449068144082577,11.015451931723995,88.94005738683518
cross_region_cloud,cross-region cloud collaboration,Diabetes,medical,ASS (Ours),2,1,0.02501161048689139,0.0774078369140625,100.0,50.0,12.38525390625,100.0,112.4102655167369,8.895984680786194,0.02225029037331771,11.017902901764737,88.95984680786194
iot_gateway,constrained IoT gateway uplink,Diabetes,medical,ASS (Ours),2,1,0.02501161048689139,0.0774078369140625,30.0,20.0,30.963134765625,30.0,60.98814637611189,16.396628843792577,0.04101060939390683,50.769102859228354,49.18988653137773
edge_lan,co-located edge/cloudlet nodes,Diabetes,medical,3Share-DM (3-party),3,1,0.03328464419475655,0.16839599609375,1.0,1000.0,1.34716796875,1.0,2.3804526129447563,420.08817758524617,1.3982485521348624,56.592933689340526,42.008817758524614
campus_cloudlet,campus or hospital cloudlet,Diabetes,medical,3Share-DM (3-party),3,1,0.03328464419475655,0.16839599609375,5.0,1000.0,1.34716796875,5.0,6.380452612944756,156.72869319195087,0.5216658788003249,21.113987525224243,78.36434659597545
metropolitan_edge,metropolitan edge federation,Diabetes,medical,3Share-DM (3-party),3,1,0.03328464419475655,0.16839599609375,20.0,200.0,6.73583984375,20.0,26.769124487944758,37.356470154649294,0.12433968174695442,25.162720008954448,74.71294030929859
regional_cloud,regional public cloud deployment,Diabetes,medical,3Share-DM (3-party),3,1,0.03328464419475655,0.16839599609375,50.0,100.0,13.4716796875,50.0,63.50496433169476,15.74680043558278,0.05241266497042103,21.213585157115673,78.73400217791391
cross_region_cloud,cross-region cloud collaboration,Diabetes,medical,3Share-DM (3-party),3,1,0.03328464419475655,0.16839599609375,100.0,50.0,26.943359375,100.0,126.97664401919477,7.87546408809507,0.02621320200408273,21.21914591704521,78.7546408809507
iot_gateway,constrained IoT gateway uplink,Diabetes,medical,3Share-DM (3-party),3,1,0.03328464419475655,0.16839599609375,30.0,20.0,67.3583984375,30.0,97.39168308169475,10.267817213520924,0.03417606426088407,69.16237229517634,30.803451640562773
edge_lan,co-located edge/cloudlet nodes,Diabetes,medical,SecureNN (3PC),3,4,0.02820416666666667,4.0,1.0,1000.0,32.0,4.0,36.02820416666667,27.75603233994108,0.07828357621210882,88.81930348781145,11.102412935976432
campus_cloudlet,campus or hospital cloudlet,Diabetes,medical,SecureNN (3PC),3,4,0.02820416666666667,4.0,5.0,1000.0,32.0,20.0,52.02820416666667,19.22034435008768,0.05420937954405979,61.50510192028058,38.440688700175365
metropolitan_edge,metropolitan edge federation,Diabetes,medical,SecureNN (3PC),3,4,0.02820416666666667,4.0,20.0,200.0,160.0,80.0,240.02820416666665,4.166177068531652,0.011750355240371147,66.65883309650641,33.32941654825321
regional_cloud,regional public cloud deployment,Diabetes,medical,SecureNN (3PC),3,4,0.02820416666666667,4.0,50.0,100.0,320.0,200.0,520.0282041666667,1.9229726233839126,0.005423584036535711,61.53512394828521,38.459452467678254
