Task,Method,Ratio,Acc,BalancedAcc,MacroF1,TailRecall,PerSampleMs,OnlineCommMB,Samples
Medical,2Cloud-D (Data-only),1:1,0.9404761904761905,0.9404761904761905,0.9404001702852277,0.9761904761904762,0.02181904761904762,0.06280517578125,84
Medical,ASS (Ours),1:1,0.9404761904761905,0.9404761904761905,0.9404001702852277,0.9761904761904762,0.025297619047619048,0.08587646484375,84
Medical,3Share-DM (3-party),1:1,0.9404761904761905,0.9404761904761905,0.9404001702852277,0.9761904761904762,0.03910952380952381,0.1845703125,84
Medical,2Cloud-D (Data-only),9:1,0.9125,0.8958333333333333,0.8081534772182254,0.875,0.03177375,0.059814453125,80
Medical,ASS (Ours),9:1,0.9125,0.8958333333333333,0.8081534772182254,0.875,0.033681249999999996,0.081787109375,80
Medical,3Share-DM (3-party),9:1,0.9125,0.8958333333333333,0.8081534772182254,0.875,0.03611875,0.17578125,80
Medical,2Cloud-D (Data-only),19:1,0.92,0.9583333333333333,0.7282608695652174,1.0,0.026937333333333334,0.0560760498046875,75
Medical,ASS (Ours),19:1,0.92,0.9583333333333333,0.7282608695652174,1.0,0.02942933333333333,0.0766754150390625,75
Medical,3Share-DM (3-party),19:1,0.92,0.9583333333333333,0.7282608695652174,1.0,0.04070266666666667,0.164794921875,75
Diabetes,2Cloud-D (Data-only),1:1,0.7159090909090909,0.7159090909090908,0.7155785391079509,0.75,0.023920454545454547,0.0523681640625,88
Diabetes,ASS (Ours),1:1,0.7159090909090909,0.7159090909090908,0.7155785391079509,0.75,0.025722727272727276,0.0765380859375,88
Diabetes,3Share-DM (3-party),1:1,0.7159090909090909,0.7159090909090908,0.7155785391079509,0.75,0.036638636363636366,0.16650390625,88
Diabetes,2Cloud-D (Data-only),9:1,0.68,0.6444444444444444,0.5337995337995338,0.6,0.039106,0.029754638671875,50
Diabetes,ASS (Ours),9:1,0.68,0.6444444444444444,0.5337995337995338,0.6,0.039208,0.043487548828125,50
Diabetes,3Share-DM (3-party),9:1,0.68,0.6444444444444444,0.5337995337995338,0.6,0.058452000000000004,0.0946044921875,50
Diabetes,2Cloud-D (Data-only),19:1,0.6808510638297872,0.5944444444444444,0.4614209320091673,0.5,0.0425531914893617,0.0279693603515625,47
Diabetes,ASS (Ours),19:1,0.6808510638297872,0.5944444444444444,0.4614209320091673,0.5,0.060544680851063834,0.0408782958984375,47
Diabetes,3Share-DM (3-party),19:1,0.6808510638297872,0.5944444444444444,0.4614209320091673,0.5,0.08698723404255318,0.08892822265625,47
Heart,2Cloud-D (Data-only),1:1,0.875,0.875,0.8749601275917065,0.8571428571428571,0.031060714285714285,0.03460693359375,56
Heart,ASS (Ours),1:1,0.875,0.875,0.8749601275917065,0.8571428571428571,0.04171607142857142,0.04998779296875,56
Heart,3Share-DM (3-party),1:1,0.875,0.875,0.8749601275917065,0.8571428571428571,0.06231250000000001,0.1085205078125,56
Heart,2Cloud-D (Data-only),9:1,0.8857142857142857,0.9375,0.7666666666666666,1.0,0.05226571428571428,0.02162933349609375,35
Heart,ASS (Ours),9:1,0.8857142857142857,0.9375,0.7666666666666666,1.0,0.05767142857142857,0.03124237060546875,35
Heart,3Share-DM (3-party),9:1,0.8857142857142857,0.9375,0.7666666666666666,1.0,0.11662857142857141,0.0678253173828125,35
Heart,2Cloud-D (Data-only),19:1,0.8787878787878788,0.9375,0.6333333333333333,1.0,0.06015151515151514,0.02039337158203125,33
Heart,ASS (Ours),19:1,0.8787878787878788,0.9375,0.6333333333333333,1.0,0.05808787878787879,0.02945709228515625,33
Heart,3Share-DM (3-party),19:1,0.8787878787878788,0.9375,0.6333333333333333,1.0,0.09418787878787879,0.0639495849609375,33
Liver,2Cloud-D (Data-only),1:1,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.03360862068965517,0.018585205078125,58
Liver,ASS (Ours),1:1,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.039255172413793095,0.027435302734375,58
Liver,3Share-DM (3-party),1:1,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.05157068965517242,0.0601806640625,58
Liver,2Cloud-D (Data-only),9:1,0.7272727272727273,0.85,0.611764705882353,1.0,0.044495454545454546,0.01409912109375,44
Liver,ASS (Ours),9:1,0.7272727272727273,0.85,0.611764705882353,1.0,0.04789772727272727,0.02081298828125,44
Liver,3Share-DM (3-party),9:1,0.7272727272727273,0.85,0.611764705882353,1.0,0.066275,0.045654296875,44
Liver,2Cloud-D (Data-only),19:1,0.6666666666666666,0.35,0.4,0.0,0.04964285714285714,0.013458251953125,42
Liver,ASS (Ours),19:1,0.6666666666666666,0.35,0.4,0.0,0.052885714285714286,0.019866943359375,42
Liver,3Share-DM (3-party),19:1,0.6666666666666666,0.35,0.4,0.0,0.07009285714285715,0.0435791015625,42
