Seed,Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
42,MNIST,general,2Cloud-D (Data-only),SUCCESS,5000,5000,1,0.9426,0.0,,,0.0,0.008258879999999998,0.0,,,121081.7931729242,50.201416015625,0.0,18.648576099953637,81.35142390004636,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,MNIST,general,ASS (Ours),SUCCESS,5000,5000,1,0.9426,0.0,,,0.0,0.0015631,0.0,,,639754.3343356152,60.72998046875,0.38822174072265625,63.59409318192439,36.405906818075614,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,MNIST,general,3Share-DM (3-party),SUCCESS,5000,5000,1,0.9424,0.0,,,0.00019999999999997797,0.00210114,0.0,,,475932.11304339545,127.105712890625,0.7764434814453125,68.79984051036683,31.200159489633172,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,MNIST,general,SecureNN (3PC),SUCCESS,5000,64,1,0.9408,0.0,,,0.0018000000000000238,0.4393546875,0.0,,,2276.065394203857,48.5,0.7764434814453125,17.48905990644334,82.51094009355667,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,MNIST,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,MNIST,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Fashion,general,2Cloud-D (Data-only),SUCCESS,5000,5000,1,0.8666,0.0,,,0.0,0.0013389399999999998,0.0,,,746859.4559875723,50.201416015625,0.0,58.088384057342694,41.9116159426573,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Fashion,general,ASS (Ours),SUCCESS,5000,5000,1,0.8666,0.0,,,0.0,0.0014352199999999999,0.0,,,696757.2915650563,60.72998046875,0.38822174072265625,61.22862938278759,38.771370617212405,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Fashion,general,3Share-DM (3-party),SUCCESS,5000,5000,1,0.8668,0.0,,,-0.00019999999999997797,0.0019153199999999999,0.0,,,522105.9666269866,127.105712890625,0.7764434814453125,64.69257583623823,35.30742416376177,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,Fashion,general,SecureNN (3PC),SUCCESS,5000,64,1,0.8632,0.0,,,0.0034000000000000696,0.39670625000000004,0.0,,,2520.756857246388,48.5,0.7764434814453125,62.54707292023281,37.4529270797672,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,Fashion,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Fashion,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Medical,medical,2Cloud-D (Data-only),SUCCESS,114,114,1,0.9473684210526315,0.0,,,0.0,0.016546491228070177,0.0,,,60435.77373694534,0.085235595703125,0.0,44.67298359140282,55.32701640859719,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Medical,medical,ASS (Ours),SUCCESS,114,114,1,0.9473684210526315,0.0,,,0.0,0.01725438596491228,0.0,,,57956.278596847995,0.116546630859375,0.00202178955078125,57.0731200664728,42.92687993352721,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Medical,medical,3Share-DM (3-party),SUCCESS,114,114,1,0.9473684210526315,0.0,,,0.0,0.023573684210526316,0.0,,,42420.1830765796,0.25048828125,0.0040435791015625,64.05733961070902,35.942660389290985,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,Medical,medical,SecureNN (3PC),SUCCESS,114,64,1,0.9473684210526315,0.0,,,0.0,0.028345312499999997,0.0,,,35279.20180805909,12.0,0.0040435791015625,58.08808605642379,41.91191394357621,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,Medical,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Medical,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
