Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
Diabetes,medical,2Cloud-D (Data-only),SUCCESS,89,89,3,0.7378277153558053,0.023389505611979014,0.7113599981276801,0.7642954325839304,0.0,0.020571161048689137,0.001027871489870494,0.01940801496120576,0.021734307136172516,48611.743286299505,0.0529632568359375,0.0,42.09581718090511,57.90418281909489,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
Diabetes,medical,ASS (Ours),SUCCESS,89,89,3,0.7378277153558053,0.023389505611979014,0.7113599981276801,0.7642954325839304,0.0,0.02501161048689139,0.0016162351469269614,0.023182668244473438,0.02684055272930934,39981.43184438687,0.0774078369140625,0.00080108642578125,60.58944947105389,39.4105505289461,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Diabetes,medical,3Share-DM (3-party),SUCCESS,89,89,3,0.7378277153558053,0.023389505611979014,0.7113599981276801,0.7642954325839304,0.0,0.03328464419475655,0.001721450378840158,0.03133663970910146,0.03523264868041165,30043.884325419152,0.16839599609375,0.0016021728515625,63.84680295837993,36.15319704162006,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Diabetes,medical,SecureNN (3PC),SUCCESS,89,64,3,0.7378277153558053,0.023389505611979014,0.7113599981276801,0.7642954325839304,0.0,0.02820416666666667,0.0019716746216863665,0.025973006794440114,0.030435326538893224,35455.75417343773,4.0,0.0016021728515625,56.5770867701491,43.4229132298509,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
Diabetes,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
Diabetes,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
Digits,general,2Cloud-D (Data-only),SUCCESS,360,360,3,0.9527777777777777,0.004811252243246928,0.9473333333333332,0.9582222222222222,0.0,0.0057603703703703706,0.001292409294681613,0.004297871576162667,0.007222869164578074,173599.94856297818,0.582275390625,0.0,49.612906139299376,50.387093860700624,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
Digits,general,ASS (Ours),SUCCESS,360,360,3,0.9527777777777777,0.004811252243246928,0.9473333333333332,0.9582222222222222,0.0,0.005623703703703704,0.0005654176276182054,0.00498387342546424,0.006263533981943167,177818.75658587986,0.81298828125,0.00919342041015625,55.14989774417058,44.85010225582943,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Digits,general,3Share-DM (3-party),SUCCESS,360,360,3,0.9527777777777777,0.004811252243246928,0.9473333333333332,0.9582222222222222,0.0,0.0080825,0.00011611277244957147,0.007951106028756975,0.008213893971243023,123724.09526755336,1.768798828125,0.0183868408203125,66.25127369441365,33.74872630558635,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Digits,general,SecureNN (3PC),SUCCESS,360,64,3,0.9537037037037037,0.004243125643477675,0.948902155028068,0.9585052523793395,-0.0009259259259259967,0.04122083333333333,0.0006419580895993794,0.04049438936868956,0.041947277297977106,24259.577479025575,10.0,0.0183868408203125,57.29348343182844,42.70651656817156,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
