Task,Method,Rounds,Acc,PerSampleMs,OnlineCommMB,EvalSamples,Error
MNIST,2Cloud-D (Data-only),1,0.9485,0.00123715,20.08056640625,2000,
MNIST,ASS (Ours),1,0.9485,0.0013217,24.2919921875,2000,
MNIST,3Share-DM (3-party),1,0.9485,0.00170455,50.84228515625,2000,
MNIST,2Cloud-D (Data-only),4,0.9485,0.00169695,127.197265625,2000,
MNIST,ASS (Ours),4,0.9485,0.0017153,144.04296875,2000,
MNIST,3Share-DM (3-party),4,0.9485,0.00242715,273.681640625,2000,
Fashion,2Cloud-D (Data-only),1,0.883,0.0012448,20.08056640625,2000,
Fashion,ASS (Ours),1,0.8825,0.00122775,24.2919921875,2000,
Fashion,3Share-DM (3-party),1,0.883,0.0018042,50.84228515625,2000,
Fashion,2Cloud-D (Data-only),4,0.883,0.00169845,127.197265625,2000,
Fashion,ASS (Ours),4,0.883,0.00171775,144.04296875,2000,
Fashion,3Share-DM (3-party),4,0.883,0.00227645,273.681640625,2000,
Medical,2Cloud-D (Data-only),1,0.9385964912280702,0.018239473684210528,0.085235595703125,114,
Medical,ASS (Ours),1,0.9385964912280702,0.02128245614035088,0.116546630859375,114,
Medical,3Share-DM (3-party),1,0.9385964912280702,0.034654385964912285,0.25048828125,114,
Medical,2Cloud-D (Data-only),4,0.9385964912280702,0.02818684210526316,0.6749267578125,114,
Medical,ASS (Ours),4,0.9385964912280702,0.025502631578947364,0.8001708984375,114,
Medical,3Share-DM (3-party),4,0.9385964912280702,0.036110526315789475,1.5029296875,114,
Wine,2Cloud-D (Data-only),1,0.9722222222222222,0.052180555555555556,0.022796630859375,36,
Wine,ASS (Ours),1,0.9722222222222222,0.06565,0.033233642578125,36,
Wine,3Share-DM (3-party),1,0.9722222222222222,0.0902111111111111,0.072509765625,36,
Wine,2Cloud-D (Data-only),4,0.9722222222222222,0.0774138888888889,0.1966552734375,36,
Wine,ASS (Ours),4,0.9722222222222222,0.07805277777777779,0.2384033203125,36,
Wine,3Share-DM (3-party),4,0.9722222222222222,0.12229722222222222,0.4482421875,36,
Diabetes,2Cloud-D (Data-only),1,0.7191011235955056,0.023077528089887642,0.0529632568359375,89,
Diabetes,ASS (Ours),1,0.7191011235955056,0.02760449438202247,0.0774078369140625,89,
Diabetes,3Share-DM (3-party),1,0.7191011235955056,0.03554831460674157,0.16839599609375,89,
Diabetes,2Cloud-D (Data-only),4,0.7191011235955056,0.03152808988764045,0.47259521484375,89,
Diabetes,ASS (Ours),4,0.7191011235955056,0.03529101123595506,0.57037353515625,89,
Diabetes,3Share-DM (3-party),4,0.7191011235955056,0.0522808988764045,1.064697265625,89,
Heart,2Cloud-D (Data-only),1,0.8666666666666667,0.03243666666666667,0.037078857421875,60,
Heart,ASS (Ours),1,0.8666666666666667,0.03753666666666667,0.053558349609375,60,
Heart,3Share-DM (3-party),1,0.8666666666666667,0.05612166666666667,0.11627197265625,60,
Heart,2Cloud-D (Data-only),4,0.8666666666666667,0.05292666666666667,0.3240966796875,60,
Heart,ASS (Ours),4,0.8666666666666667,0.04617333333333334,0.3900146484375,60,
Heart,3Share-DM (3-party),4,0.8666666666666667,0.07498333333333335,0.728759765625,60,
Digits,2Cloud-D (Data-only),1,0.95,0.0083325,0.582275390625,360,
Digits,ASS (Ours),1,0.95,0.005784999999999999,0.81298828125,360,
Digits,3Share-DM (3-party),1,0.95,0.00796861111111111,1.768798828125,360,
Digits,2Cloud-D (Data-only),4,0.95,0.007516388888888888,4.4384765625,360,
Digits,ASS (Ours),4,0.95,0.007891944444444444,5.361328125,360,
Digits,3Share-DM (3-party),4,0.9527777777777777,0.013201944444444445,10.2392578125,360,
Liver,2Cloud-D (Data-only),1,0.6956521739130435,0.025818840579710147,0.0221099853515625,69,
Liver,ASS (Ours),1,0.6956521739130435,0.0318768115942029,0.0326385498046875,69,
Liver,3Share-DM (3-party),1,0.6956521739130435,0.047868115942028985,0.07159423828125,69,
Liver,2Cloud-D (Data-only),4,0.6956521739130435,0.03857101449275362,0.18951416015625,69,
Liver,ASS (Ours),4,0.6956521739130435,0.04209855072463768,0.23162841796875,69,
Liver,3Share-DM (3-party),4,0.6956521739130435,0.05763188405797102,0.43798828125,69,
